Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	% Samples above Threshold	Annotation																																														
								Mock1	Mock2	Mock3	1493-1 6h	1493-1 6h	1493-1 6h	1493-2 6h	1493-2 6h	1493-2 6h	1493-1 24h	1493-1 24h	1493-1 24h	1493-2 24h	1493-2 24h	1493-2 24h	Mock4	Mock5	Mock6	1488-1 6h	1488-1 6h	1488-1 6h	1488-2 6h	1488-2 6h	1488-2 6h	1488-1 24h	1488-1 24h	1488-1 24h	1488-2 24h	1488-2 24h	1488-2 24h	Mock7	Mock8	Mock9	1484-1 24h	1484-1 24h	1484-1 24h	1484-2 24h	1484-2 24h	1484-2 24h	1484-2 6h	1484-2 6h	1484-2 6h	1484-1 6h	1484-1 6h	1484-1 6h
SIRT1	NM_012238.4	SIRT1	Endogenous	mRNA	100			403.42	384.74	352.87	423.07	430.06	376.12	343.29	339.12	366.69	402.05	383.82	354.32	259.74	284.75	311.48	275.84	193.75	185.89	257.17	202.37	195.03	208.78	178.18	187.73	255.27	280.9	251.56	344.99	332.62	312.3	311.49	306.85	280.69	323.46	342.23	290.05	371.75	333.83	376.49	269.99	337.86	306.85	266.95	271.74	234.29
SMPD1	NM_000543.4	SMPD1	Endogenous	mRNA	100			75.71	90.94	92.25	112.82	139.81	101.41	101.96	75.51	104.62	49.44	47.02	40.71	39.6	27.45	41.94	41.99	44.47	36.28	47.03	53.43	40.31	33.24	42.31	36.41	50.54	74.3	60.56	57.54	53.14	39.83	65.64	45.76	77.21	50.22	56.8	46.3	57.17	54.45	66.16	54.36	52.95	56.46	55.56	46.85	56.64
SOD1	NM_000454.4	SOD1	Endogenous	mRNA	100			949.98	977.35	907.55	1184.61	1069.83	1119.36	987.77	925.37	888.73	1034.4	1109.9	1091.56	877.96	818.23	833.89	746.9	612.09	618.87	965.61	626.94	644	795.2	553.38	504.77	719.26	642.84	633.8	822.25	695.17	758.04	720.19	747.5	737.28	800.28	778.11	765.82	842.59	883.05	925.05	1009.92	1022.26	987	933.79	879.06	857.26
SOD2	NM_000636.2	SOD2	Endogenous	mRNA	100			16573.21	16517.03	15760.43	13734.38	14175.22	14253.87	16257.11	16480.84	15190.87	14080.88	14493.16	13847.03	11046.85	13086.88	12155.58	8221.9	12884.47	11013.42	7132.85	12836.06	10970.62	6814.97	13232.25	13576.05	10853.08	11099.57	11266.01	10778.29	11599.34	12213.41	10998	11564.79	11367.33	10837.69	11405.08	12064.7	9092.9	9742.64	10060.87	7266.6	7355.62	7874.18	7171.32	8092.01	8543.17
SOD3	NM_003102.2	SOD3	Endogenous	mRNA	100			10.65	9.99	12.68	7.05	3.04	14.12	8.42	8.24	11.62	15.61	10.93	5.5	3.94	4.06	2.03	10.99	3.61	2.99	4.54	2.97	3.35	1.91	1.73	2.4	6.44	13.06	10.61	8.05	8.47	6.58	9.89	12.23	9.23	9.14	9.23	8.32	6.08	5.71	6.92	8.3	5.29	3.23	5.44	4.84	5.65
SRD5A1	NM_001047.3	SRD5A1	Endogenous	mRNA	100			164.44	169.89	178.74	225.64	258.34	232.34	204.85	185.35	206.07	205.58	183.71	189.26	151.86	169.19	163.14	115.11	151.18	118.27	144.12	141.32	138.67	105.53	120.59	124.2	142.46	145.91	120.22	190.23	161.16	198.8	162.73	162.19	180.62	143.85	150.07	196.16	222.51	208.92	192.71	166.6	180.31	164.16	130.69	160.89	177.35
SRD5A2	NM_000348.3	SRD5A2	Endogenous	mRNA	100			14.2	16.99	12.68	9.87	10.64	11.55	13.1	19.22	11.62	19.52	12.03	16.51	36.05	28.71	57.64	77.05	43.9	45.15	84.3	34.29	22.83	24.04	23.59	33.8	5.13	10.62	7.17	8.31	7.87	5.24	9.9	10.49	24.77	8.5	7.92	7.03	9.13	4.76	14.84	10.38	9.54	4.31	3.63	5.82	6.47
SREBP-1c (SREBF1)	NM_001005291.1	SREBP-1c (SREBF1)	Endogenous	mRNA	100			431.81	477.68	472.8	390.64	351.04	390.24	412.51	402.27	441.72	381.23	379.44	310.3	378.14	367.52	383.66	448.04	331.68	291.76	427.88	442.89	473.98	475.19	484.65	452.51	242.34	217.44	235.32	214.12	226.44	205.39	191.19	199.86	216.26	226.72	201.78	236.61	275.47	232.16	285.02	402.7	437.27	414.73	427.75	406.18	395.48
SYK	NM_003177.5	SYK	Endogenous	mRNA	100			1222.08	1070.29	1097.82	1235.37	1153.41	1222.05	1204.78	1293.31	1144.47	1268.61	1254.24	1375.46	887	1049.17	990.41	471.97	685.12	591.3	431.71	850	732.9	435.64	807.54	799.05	799.28	776.48	749.26	906.29	893.41	984.52	862.27	921.38	919.46	835	882.47	932.52	914.35	918.05	901.29	662.32	647.42	679.32	627.44	652.62	636.88
TERC	NR_001566.1	TERC	Endogenous	mRNA	100			351.36	348.77	359.79	386.41	385.99	403.07	334.87	295.18	323.37	382.53	338.98	400.53	269.32	274.8	266.17	322.14	263.28	272.32	354.18	204.26	226.49	336.04	179.98	189.64	249.08	263.49	253.22	277.01	261.06	271.23	269.44	244.94	261.3	295.37	275.28	273.74	267.56	264.73	263.21	300.47	287.29	299.08	263.29	244.81	241.92
TERT	NM_198253.1	TERT	Endogenous	mRNA	100			4.73	6	2.31	2.82	4.56	1.28	1.87	4.12	3.17	11.71	2.19	6.6	8	15.99	4.9	18.61	16.58	8.68	6.59	6.46	9.74	7.74	13.42	15.69	7.66	15.85	13.38	7.44	14.68	15.65	8.44	5.22	8.53	7.25	5.91	8.4	10.06	9.44	19.63	13.73	1.75	8.91	6	11.22	5.34
TGFB	NM_000660.3	TGFB	Endogenous	mRNA	100			506.34	520.65	556.98	657.17	633.69	548.13	535.04	550.55	536.83	615.44	644.07	568.89	657.64	618.08	646.78	770.94	664.41	538.33	608.08	583.09	529.11	491.12	560.96	520.35	445.44	411.25	453.11	542.03	503.93	515.54	483.88	482.47	555.35	473.78	492.54	502.21	446.25	470.43	444.23	506.89	543.68	536.01	475.17	474.27	484.3
TIMP1	NM_003254.2	TIMP1	Endogenous	mRNA	100			1952.02	1961.7	1862.38	2153.44	2215.64	2243.86	2025.12	2049.81	1933.86	1882.74	2022.96	1861.82	1319.54	1475.27	1433.09	498.91	860.5	726.59	440.19	890.57	757.6	400.47	813.92	726.84	1277.02	1283.92	1258.07	1131.94	1223.18	1288.42	1182.36	1333.23	1186.28	1217.25	1369.51	1323.8	1521.14	1497.11	1445.8	601.53	549.1	616.97	560.59	616.39	627.84
TNF-a	NM_000594.2	TNF-a	Endogenous	mRNA	100			85.18	69.95	66.88	67.69	100.3	96.28	90.73	72.77	82.43	66.36	75.45	82.53	68.9	72.62	89.62	149.19	235.85	201.22	83.59	125.41	113.84	75.85	117.24	111.4	99.44	91.13	118.01	108.32	125.66	119.46	126.44	126.22	116.85	101.59	135.69	119.49	142.97	140.13	130.95	134.83	120.64	118.7	130.2	128.3	141.94
TNFSF14	NM_172014.2	TNFSF14	Endogenous	mRNA	100			62.7	68.95	87.64	87.44	98.78	82.15	78.57	94.73	70.8	79.37	66.7	86.93	27.53	38.38	30.35	77.75	76.59	86.64	49.91	114.31	98.42	59.45	87.3	89.21	68.82	58.91	60.76	58.67	55.54	48.11	62.86	80.22	53.8	52.27	67.05	48.64	75.36	63.95	52.33	48.97	77.28	57.02	47.99	77.59	48.51
TPH1	NM_004179.1	TPH1	Endogenous	mRNA	100			7.1	8.99	9.23	16.92	13.68	16.69	11.22	9.61	8.45	18.22	9.84	13.2	9.02	12.46	7.74	11.8	5.17	13.71	10.41	8.51	6	6	4.97	5.59	16.55	7.34	22.55	38.6	24.74	28.74	19.15	28.76	20.28	16.44	25.53	29.93	20.6	11.05	25.84	12.05	15.38	7.82	22.39	4.22	15.25
TYR	NM_000372.4	TYR	Endogenous	mRNA	71.15			4.73	1	1.15	4.23	1.52	3.85	3.74	5.49	1.06	7.81	4.37	5.5	13.13	14.51	15.76	14.97	12.44	11.17	20.6	11.06	10.35	1	1	1	1	1	1	1	1.36	1.51	1.47	1	1.98	1	1	1.22	2.92	7.3	5.69	2.99	8.13	13.44	6.96	1.86	1.55
TYRP1	NM_000550.2	TYRP1	Endogenous	mRNA	90.38			4.73	6	3.46	4.23	3.04	7.7	4.68	5.49	3.17	2.6	7.65	5.5	3.15	4.64	3.24	2.93	4.33	3.35	4.36	1.58	2.35	3.35	3.01	1.92	2.47	3.51	3.63	4.32	2.27	5.05	4.08	5.05	5.5	4.56	4.19	4.87	1.36	2.97	6.17	1	3.31	3.36	2.43	2.16	1.44
Tgm1	NM_000359.2	Tgm1	Endogenous	mRNA	100			4.73	9.99	5.77	11.28	7.6	3.85	5.61	15.1	11.62	18.22	5.47	8.8	5.82	5.51	4.27	4.83	6.34	7.57	9.58	6.79	7.08	3.21	2.13	6.02	16.41	14.56	17.2	18.46	14.9	21.18	18.56	16.77	6.73	17.16	17.32	14.91	32.98	16.06	19.07	11.26	16.6	15.59	18.58	15.18	13.63
UNG	NM_003362.3	UNG	Endogenous	mRNA	100			60.34	56.96	74.96	78.97	79.02	66.75	76.7	61.78	62.35	74.16	69.98	66.02	90.96	79.09	90.98	113.12	72.35	91.16	104.92	70.65	78.02	94.72	62.57	82.84	48.51	40.94	44.66	67.85	58.51	54.4	50.85	64.1	69.85	59.62	68.44	51.56	73.46	73.9	65.29	67.16	64.47	85.1	75.14	81.52	65.87
Ubl-5	NM_024292.3	Ubl-5	Endogenous	mRNA	100			1733.15	1804.8	1706.7	1992.68	2022.64	2001.24	1698.67	1738.15	1681.3	1975.12	2068.89	2073.09	1815.48	1879.69	1866.29	1362.37	1327.21	1354	1358.13	1525.91	1430.76	1312.98	1396.58	1419.5	1005.18	1043.85	1053.9	1191.81	1270.21	1282.73	1115.74	1197.74	1125.12	1130.93	1164.44	1175.61	1657.5	1771.61	1702.65	1488.24	1510.97	1460.44	1304.66	1315.68	1339.06
VCAM1	NM_001199834.1	VCAM1	Endogenous	mRNA	100			8.28	12.99	16.14	18.33	10.64	5.13	9.35	19.22	7.4	13.01	12.03	7.7	24.18	8.44	5.46	28.12	14.58	15.47	7.34	7.2	4.07	20.32	6.54	7.28	13.82	61.29	79.67	13.43	39.72	56.47	74.23	70.62	53.87	68.64	21.31	22.72	17.88	11.75	20.94	14.65	16.83	26.62	16	20.51	18.53
VEGFA	NM_001025366.1	VEGFA	Endogenous	mRNA	100			233.06	208.86	256	330	326.72	268.29	259.1	230.65	275.81	295.36	270.09	265.19	165.6	174.55	189.29	95	120.83	113.49	118.85	198.87	169.27	110.36	229.24	232.03	197.02	214.03	185.49	165.11	183.81	174.59	165.33	171.6	164.6	198.33	210.11	241.34	236.23	223.75	186.04	212.17	218.84	198.33	140.95	160.48	208.1
VWF	NM_000552.3	VWF	Endogenous	mRNA	100			15.38	15.99	18.45	14.1	10.64	26.96	19.64	23.34	13.74	22.12	9.84	9.9	1.88	4.85	7.25	8.74	9.33	5	3.25	5.91	2	1.36	5.17	5.02	8.08	5.12	13.31	15.7	10.62	8.25	9.54	10.61	15.42	7.37	16.02	6.64	16.31	19.49	14.47	25.8	17.05	26.8	19.9	19.84	16.54
XPA	NM_000380.3	XPA	Endogenous	mRNA	100			248.44	279.81	303.28	407.56	337.36	341.46	300.26	306.17	333.93	331.79	368.51	323.51	262.18	281.29	288.46	216.04	180.49	181.89	245.26	193.93	198.93	217.18	168.51	175.49	165.41	165.98	179.41	259.44	226.96	214.46	202.71	202.9	213.48	233.98	240.21	240.11	375.75	344.64	353.11	388.3	365.62	316.35	298.94	284.41	309.2
XRCC1	NM_006297.2	XRCC1	Endogenous	mRNA	100			84	69.95	85.33	97.31	74.46	80.87	74.83	104.34	85.6	85.87	92.95	91.33	50.98	64.19	59.91	78.4	57.13	50.59	63.54	68.72	55.16	44.94	57.01	43.57	57.17	72.7	72.93	84.27	75.61	90.54	66.94	82.79	65.81	68.98	77.17	66.59	76.95	81.64	86.8	104.37	94.05	79.71	85.87	85.04	83.64
XRCC5	NM_021141.3	XRCC5	Endogenous	mRNA	100			3117.31	3287.82	3392.64	3652.54	3683.61	3594.28	3381.44	3593	3625.73	3502.65	3595.41	3502.47	2457.27	2675.78	2731.57	2288.94	1983.83	1952.28	2083.34	2004.47	1942.74	1966.75	1934.85	1839.24	1954.3	2068.78	2192.99	2358.89	2356.97	2334.95	2263.13	2324.78	2390.33	2326.89	2394.68	2281.42	3206.67	3116.43	3239.07	3011.31	3029.59	3031.96	3028.54	3036.34	2866.26
apoA-I (APA1)	NM_000039.1	apoA-I (APA1)	Endogenous	mRNA	100			3.55	6	4.61	7.05	7.6	7.7	6.55	1.37	1.06	7.81	4.37	6.6	1.69	6.21	2.17	7.84	3.86	5.12	5.83	2.65	1.79	2.85	3.09	2.25	5.55	6.33	11.63	9.24	3.65	12.15	7.86	3.24	7.95	5.63	7.34	5.21	1.29	4.7	7.33	10.25	9.16	10.65	11.2	4.79	5.99
ACTB	NM_001101.2	ACTB	Housekeeping	mRNA	100			8719.01	8492.36	8619.98	6726.87	6896.13	6666.1	8560.71	8435.38	8073.62	7088.58	7170.04	7680.57	6509.17	6740.4	6512.64	6616.07	7134.59	6917.78	5475.2	6405.81	6134.92	6080.16	6974.04	7151.17	7867.69	7681.18	7468.19	6577.62	6870.94	6889.22	7240.29	7471.71	7340.28	6374.3	6541.51	6985.71	5851.69	5885.69	5723.85	6002.13	5832.59	6018.24	6769.24	6759.42	6806.94
GAPDH	NM_002046.3	GAPDH	Housekeeping	mRNA	100			7265.05	7277.17	7304.21	7769.04	7658.99	7816.27	7261.45	7153.04	7284.22	7408.66	7430.29	7401.07	6688	7189.73	7206.38	6010.42	8191.37	7506.25	6372.38	9047.91	8684.78	6211.8	9425.67	9217.59	8796.08	8681.61	9001.87	8881.97	9064.93	9240.17	8897.54	8563.26	8680.39	9024.21	9383.57	9112.82	10125.82	10108.67	10365.91	8771.61	8809.49	9160.65	8146.16	8313.33	8733.65
RPLP0	NM_001002.3	RPLP0	Housekeeping	mRNA	100			7328.94	7512.01	7373.4	8883.13	8789.61	8909.96	7468.17	7693.99	7893.97	8839.91	8714.05	8166.93	10664.12	9579.63	9891.73	11674.59	7943.67	8940.41	13305.93	8009.85	8713.23	12291.76	7062.36	7042.91	6708.27	6961.75	6905.56	7946.37	7453.6	7292.84	7206.44	7255.84	7286.09	8070.58	7563.11	7292.62	7834.93	7802.89	7824.41	8817.84	9035.13	8420.75	8418.88	8261.56	7809.07
TBP	NM_001172085.1	TBP	Housekeeping	mRNA	100			249.62	261.83	264.08	325.77	348	301.66	254.43	307.54	275.81	296.66	267.91	259.69	143.34	168.43	174.02	144.52	138.56	108.25	144.31	144.74	160.12	138.67	144.69	139.6	161.04	149.54	178.98	213.9	181.5	200.73	173.92	190.95	185.37	192.78	175.55	195.96	249.81	221.02	266.06	236.11	226.05	210.75	209.61	173.39	203.9
NEG_A	ERCC_00096.1	NEG_A(0)	Negative	SYSTEM	100			13	14	12	17	10	20	16	18	16	12	14	18	13	14	12	17	10	20	16	18	16	12	14	18	13	14	12	17	10	20	16	18	16	12	14	18	13	14	12	17	10	20	16	18	16
NEG_B	ERCC_00041.1	NEG_B(0)	Negative	SYSTEM	100			15	20	12	18	12	18	19	11	13	14	22	14	15	20	12	18	12	18	19	11	13	14	22	14	15	20	12	18	12	18	19	11	13	14	22	14	15	20	12	18	12	18	19	11	13
NEG_C	ERCC_00019.1	NEG_C(0)	Negative	SYSTEM	100			12	22	19	21	17	17	19	23	13	25	17	15	12	22	19	21	17	17	19	23	13	25	17	15	12	22	19	21	17	17	19	23	13	25	17	15	12	22	19	21	17	17	19	23	13
NEG_D	ERCC_00076.1	NEG_D(0)	Negative	SYSTEM	100			18	16	25	16	12	17	14	18	7	21	19	18	18	16	25	16	12	17	14	18	7	21	19	18	18	16	25	16	12	17	14	18	7	21	19	18	18	16	25	16	12	17	14	18	7
NEG_E	ERCC_00098.1	NEG_E(0)	Negative	SYSTEM	100			13	10	19	15	19	18	26	8	15	16	16	9	13	10	19	15	19	18	26	8	15	16	16	9	13	10	19	15	19	18	26	8	15	16	16	9	13	10	19	15	19	18	26	8	15
NEG_F	ERCC_00126.1	NEG_F(0)	Negative	SYSTEM	100			21	31	19	21	19	29	27	16	14	17	29	22	21	31	19	21	19	29	27	16	14	17	29	22	21	31	19	21	19	29	27	16	14	17	29	22	21	31	19	21	19	29	27	16	14
NEG_G	ERCC_00144.1	NEG_G(0)	Negative	SYSTEM	100			10	24	8	13	8	16	18	20	12	4	8	6	10	24	8	13	8	16	18	20	12	4	8	6	10	24	8	13	8	16	18	20	12	4	8	6	10	24	8	13	8	16	18	20	12
NEG_H	ERCC_00154.1	NEG_H(0)	Negative	SYSTEM	100			12	9	5	11	20	15	11	13	14	8	8	12	12	9	5	11	20	15	11	13	14	8	8	12	12	9	5	11	20	15	11	13	14	8	8	12	12	9	5	11	20	15	11	13	14
POS_A	ERCC_00117.1	POS_A(128)	Positive	SYSTEM	100			21308	25801	22813	21426	19242	20728	22940	18399	21201	24186	23144	21383	21308	25801	22813	21426	19242	20728	22940	18399	21201	24186	23144	21383	21308	25801	22813	21426	19242	20728	22940	18399	21201	24186	23144	21383	21308	25801	22813	21426	19242	20728	22940	18399	21201
POS_B	ERCC_00112.1	POS_B(32)	Positive	SYSTEM	100			9141	10730	9445	8959	7871	8363	9483	7987	9096	9885	9217	8293	9141	10730	9445	8959	7871	8363	9483	7987	9096	9885	9217	8293	9141	10730	9445	8959	7871	8363	9483	7987	9096	9885	9217	8293	9141	10730	9445	8959	7871	8363	9483	7987	9096
POS_C	ERCC_00002.1	POS_C(8)	Positive	SYSTEM	100			2462	2836	2420	2286	1997	2187	2405	2060	2253	2506	2339	2087	2462	2836	2420	2286	1997	2187	2405	2060	2253	2506	2339	2087	2462	2836	2420	2286	1997	2187	2405	2060	2253	2506	2339	2087	2462	2836	2420	2286	1997	2187	2405	2060	2253
POS_D	ERCC_00092.1	POS_D(2)	Positive	SYSTEM	100			605	655	623	529	511	543	590	464	584	624	599	514	605	655	623	529	511	543	590	464	584	624	599	514	605	655	623	529	511	543	590	464	584	624	599	514	605	655	623	529	511	543	590	464	584
POS_E	ERCC_00035.1	POS_E(0.5)	Positive	SYSTEM	100			92	118	101	93	94	102	96	101	75	116	109	104	92	118	101	93	94	102	96	101	75	116	109	104	92	118	101	93	94	102	96	101	75	116	109	104	92	118	101	93	94	102	96	101	75
POS_F	ERCC_00034.1	POS_F(0.125)	Positive	SYSTEM	100			58	67	66	55	56	66	66	57	45	68	54	51	58	67	66	55	56	66	66	57	45	68	54	51	58	67	66	55	56	66	66	57	45	68	54	51	58	67	66	55	56	66	66	57	45
